player_id,series_count,game_count,total_kills,avg_kills,max_kills,min_kills,total_deaths,avg_deaths,max_deaths,min_deaths,kd_ratio,kills_per_game,deaths_per_game,id,nickname,team_name
114111,28,67,780,27.857142857142858,50,10,1089,38.892857142857146,57,17,0.7162534435261708,11.64179104477612,16.253731343283583,114111,gwachkuar,Anonymo
114113,1,2,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,114113,smooho lft,Anonymo
114115,18,42,644,35.77777777777778,60,10,630,35.0,47,11,1.0222222222222221,15.333333333333334,15.0,114115,yvro,Anonymo
114117,23,56,757,32.91304347826087,62,14,899,39.08695652173913,63,17,0.8420467185761957,13.517857142857142,16.053571428571427,114117,TMB,ECSTATIC
114126,22,52,797,36.22727272727273,57,9,827,37.59090909090909,63,8,0.9637243047158404,15.326923076923077,15.903846153846153,114126,aNdu,Copenhagen Wolves
114182,14,37,574,41.0,69,24,523,37.357142857142854,54,22,1.0975143403441683,15.513513513513514,14.135135135135135,114182,Lucky,3DMAX
114184,14,37,635,45.357142857142854,60,27,531,37.92857142857143,49,23,1.1958568738229756,17.16216216216216,14.35135135135135,114184,Maka,3DMAX
114186,14,37,526,37.57142857142857,52,20,626,44.714285714285715,57,30,0.8402555910543131,14.216216216216216,16.91891891891892,114186,Djoko,3DMAX
114188,14,37,550,39.285714285714285,61,21,549,39.214285714285715,53,21,1.0018214936247722,14.864864864864865,14.837837837837839,114188,Ex3rcice,3DMAX
114190,14,37,558,39.857142857142854,75,25,576,41.142857142857146,56,27,0.96875,15.08108108108108,15.567567567567568,114190,Graviti,3DMAX
114342,115,276,3447,29.973913043478262,72,8,4226,36.74782608695652,65,16,0.8156649313771889,12.48913043478261,15.31159420289855,114342,fiR3,REMBAZA
114368,6,14,172,28.666666666666668,43,9,200,33.333333333333336,51,19,0.86,12.285714285714286,14.285714285714286,114368,Maluk3,Sensei
114373,5,12,70,14.0,24,5,86,17.2,33,7,0.813953488372093,5.833333333333333,7.166666666666667,114373,guthriee,Favbet Team
114377,9,20,265,29.444444444444443,46,22,310,34.44444444444444,57,22,0.8548387096774194,13.25,15.5,114377,dzt,Players
114378,9,20,350,38.888888888888886,51,26,297,33.0,53,18,1.1784511784511784,17.5,14.85,114378,spinnie,Players
114380,1,2,27,27.0,27,27,22,22.0,22,22,1.2272727272727273,13.5,11.0,114380,s1cko,Players
114382,9,20,311,34.55555555555556,54,24,313,34.77777777777778,57,19,0.9936102236421726,15.55,15.65,114382,dok,Players
114384,9,20,294,32.666666666666664,44,19,270,30.0,45,16,1.0888888888888888,14.7,13.5,114384,mithputtini,Players
114396,1,1,5,5.0,5,5,17,17.0,17,17,0.29411764705882354,5.0,17.0,114396,Sandraum,Nitro
114398,8,21,355,44.375,66,18,281,35.125,50,18,1.2633451957295374,16.904761904761905,13.380952380952381,114398,abr,Game Hunters
114400,8,19,223,27.875,44,14,287,35.875,52,15,0.7770034843205574,11.736842105263158,15.105263157894736,114400,leleo,Nitro
114402,4,10,159,39.75,51,17,168,42.0,56,18,0.9464285714285714,15.9,16.8,114402,cerol,Nitro
114404,8,19,275,34.375,54,8,302,37.75,56,16,0.9105960264900662,14.473684210526315,15.894736842105264,114404,nolkz,Nitro
114415,7,18,283,40.42857142857143,66,17,257,36.714285714285715,47,27,1.1011673151750974,15.722222222222221,14.277777777777779,114415,beg0d,Nitro
114445,9,23,363,40.333333333333336,56,25,337,37.44444444444444,47,28,1.0771513353115727,15.782608695652174,14.652173913043478,114445,Melavi,Anonymo
114447,8,20,287,35.875,53,20,305,38.125,54,26,0.940983606557377,14.35,15.25,114447,Lich,Game Hunters
