id,name,name_short,start_date,end_date,private,title_ids,title_names
106303,ESL Impact Cash Cup: Europe - Summer 2022 #1,ESL Impact Cash Cup:,,,False,['1'],['Counter Strike: Global Offensive']
106305,ESL Impact Cash Cup: North America - Summer 2022 #1,ESL Impact Cash Cup:,,,False,['1'],['Counter Strike: Global Offensive']
106306,Gamers Club Liga Série A: June 2022,Gamers Club Liga A: June 2022,,,False,['1'],['Counter Strike: Global Offensive']
106311,ESL Impact Valencia 2022,ESL Impact Valencia ,,,False,['1'],['Counter Strike: Global Offensive']
106313,Circuito Retake Season 4,Circuito Retake 4,,,False,['1'],['Counter Strike: Global Offensive']
106317,ESL Challenger Valencia 2022,ESL Challenger Valen,,,False,['1'],['Counter Strike: Global Offensive']
106321,Titus Colesseum,Titus Colesseum,,,False,['2'],['Defense of the Ancients 2']
106322,Intel Extreme Masters Season XVII - Cologne,Intel Extreme Master,,,False,['1'],['Counter Strike: Global Offensive']
106326,Thunderpick Bitcoin Series Open Qualifier #1,Thunderpick Bitcoin ,,,False,['2'],['Defense of the Ancients 2']
106334,European Championship 2022,European Championshi,,,False,['1'],['Counter Strike: Global Offensive']
106335,Polska Liga Esportowa Superpuchar 2022,Polska Liga Esportow,,,False,['1'],['Counter Strike: Global Offensive']
106336,Junius Cup,Junius Cup,,,False,['2'],['Defense of the Ancients 2']
106337,Knights Arena,Knights Arena,,,False,['2'],['Defense of the Ancients 2']
106338,FiReLEAGUE 2022: Argentinian League,FiReLEAGUE 2022: Arg,,,False,['1'],['Counter Strike: Global Offensive']
106343,La Liga Season 5,La Liga Season 5,,,False,['1'],['Counter Strike: Global Offensive']
106348,BrisVegas Winter 2022,BrisVegas Winter 202,,,False,['1'],['Counter Strike: Global Offensive']
106351,CBCS Elite League 2022 Season 1,CBCS Elite League 20,,,False,['1'],['Counter Strike: Global Offensive']
106352,Thunderpick Bitcoin Series Open Qualifier #2,Thunderpick Bitcoin ,,,False,['2'],['Defense of the Ancients 2']
106353,Dust2.dk Ligaen Season 20,Dust2.dk Ligaen Seas,,,False,['1'],['Counter Strike: Global Offensive']
106354,TP Bitcoin Series,TP Bitcoin Series,,,False,['2'],['Defense of the Ancients 2']
106358,ESL Challenger League Season 41 Relegation: North America,ESL Challenger Leagu,,,False,['1'],['Counter Strike: Global Offensive']
106361,Adria Championship 2022,Adria Championship 2022,,,False,['1'],['Counter Strike: Global Offensive']
106362,Sazka eCUP 2022,Sazka eCUP 2022,,,False,['1'],['Counter Strike: Global Offensive']
106363,ESL Challenger Melbourne 2022 Europe Closed Qualifier,ESL Challenger Melbo,,,False,['1'],['Counter Strike: Global Offensive']
106365,Dota 2 Champions League Season 13,Dota 2 Champions Lea,,,False,['2'],['Defense of the Ancients 2']
106368,ESL Challenger Melbourne 2022: Asian Qualifier,ESL Challenger Melbo,,,False,['1'],['Counter Strike: Global Offensive']
106369,ESL Challenger Melbourne 2022: European Qualifier,ESL Challenger Melbo,,,False,['1'],['Counter Strike: Global Offensive']
